keyword_candidate,count,example_titles,suggested_category,suggested_price_source,priority
まとめ売り,12,ポケモンカード 旧裏 基本エネルギー・特殊エネルギー まとめ売り 鋼エネルギー 悪エネルギー含む neo まとめ売り 複数種類 ポケカ || 【未検品民家整理品】引退品トレカフィギュア一番くじまとめ売り大量セット【ポケカ・遊戯王・プロ野球カード・ワンピ】 || 【1000スタ】ポケモンカードゲーム AR CHR SR SAR ポケモンカード 12枚まとめ売り！メガシビルドンex SAR 他,lot,manual,LOW
シュリンク付き,12,タッグボルトポケモンセンター限定セット 新品未開封シュリンク付きローダー || 【1円スタート】ムニキスゼロ 未開封シュリンク付きBOX 売り切り！早い者勝ち ムニキスゼロ ポケモンカードゲーム 拡張パック 1BOX BOX || ポケモンカードゲームMEGA ●ハイクラスパックドリームex●1ボックス/10パック入り●新品未開封 シュリンク付き●,sealed,manual_to_verify,HIGH
アビスアイ,7,ポケモンカードゲーム ドリームex 3BOXシユリンク付き アビスアイ 1BOXペリペリ 合計 4BOX。^_^ || ポケモンカードゲーム MEGA アビスアイ 1BOX [新品・シュリンクも未開封 || 【新品未開封シュリンク付】ポケモンカード アビスアイ 1BOX 送料無料,sealed,manual_to_verify,HIGH
PSA10,6,【 ARS鑑定 10 】コスモッグ 014/028 ポケモンカードゲーム ポケカ 25th ANNIVERSARY リーリエ PSA BGS ARS 鑑定品 PSA10 ARS10 || 【 ARS鑑定 10 】ルナアーラ 017/028 ポケモンカードゲーム ポケカ 25th ANNIVERSARY リーリエ PSA BGS ARS 鑑定品 PSA10 ARS10 || PSA10 ポケモンカード リザードンVSTAR 002/030 GEM MT 10,graded,manual,LOW
PSA9,6,PSA9 ポケモンカード ピカチュウ ホロ 2018 SM PROMO AEON #307 プロモ ポケモンカード SV-P げきとうスパーク 30周年 イオン || 送料360円 1円 PSA鑑定品 PSA9 ポケモンカード オーダイル EXPEDITION - 1ST EDITION 同梱NG || 送料360円 1円 PSA鑑定品 PSA9 ポケモンカード ミルタンク WIND FROM THE SEA 同梱NG,graded,manual,LOW
ARS10,4,【ARS鑑定 10】ルギアEX 103/171 ハイクラスパック-THE BEST OF XY ARS10 PSA 鑑定書付き 2017 || 【ARS鑑定 10】メガルカリオex MA 228/193 メガアタックレア ポケモンカード 鑑定書付き PSA BGS ARS10 鑑定品 ポケカ MEGAドリームex || 【ARS鑑定 10】メガカイリューex MA 232/193 メガアタックレア ポケモンカード 鑑定書付き PSA BGS ARS10 鑑定品 ポケカ MEGAドリームex,graded,manual,LOW
UNKNOWN_PRODUCT,4,【ピカチュウ】９枚まとめ/エレリサイクル/かじる/しっぽではたく/でんこうせっか/でんきショック/ポケモンカード/ || 送料360円 1円 美品 CGC鑑定品 MINT9 ポケモンカード エーフィ Espeon 同梱NG || 送料360円 1円 美品 CGC鑑定品 MINT9 ポケモンカード ブラッキー Neo Premium File2 同梱NG,unknown_or_suspect,manual,LOW
旧裏,4,ポケモンカード キラ140枚 旧裏面 旧裏 リザードン ひかるミュウ ブラッキー 1円スタート Japanese Pokemoncard Charizard Mew old || めざめる伝説 遺跡をこえて... 49種 ポケモンカード 旧裏 まとめ Neo Discovery / Revelation ストライク ネイティオ || ポケモンカード 旧裏 古めのカード多め まとめ,lot,manual,LOW
MEGAドリームex,3,ポケモンカードゲーム MEGA ハイクラスパック MEGAドリームex 1BOX シュリンク付 新品未開封 || MEGA ハイクラスパック MEGAドリームex BOX 1BOX ポケモンカードゲーム ポケモンカードゲーム 1BOX 新品未開封 || MEGAドリームex 1箱 シュリンク付き,sealed,manual_to_verify,HIGH
メガシンフォニア,3,ポケモンカードゲーム メガブレイブ メガシンフォニア 各1BOX シュリンク付き未開封品 || ポケモンカードゲーム メガブレイブ メガシンフォニア ポケモンカード 各1BOX シュリンク付き 新品未開封！！ || ポケモンカードゲーム メガブレイブ メガシンフォニア ポケモンカード 各1BOX シュリンク付き 新品未開封,sealed,manual_to_verify,HIGH
引退品,3,ダブリ無し！2003年〜！古い！年代物！廃盤！DP.PT.ADV.PCG.デルタ種. 超克の時空へ ポケカ 大量 引退品 || ダブリ無し！古い！年代物！廃盤！BW.XY.PT.ADV.PCG.旧裏.プロモ！キラ ホロ ミラー 大玉 十字 渦巻き ポケカ 引退品 大量 まとめ || ポケモンカード 引退品 SAR ポケモンセンターBOX トウホク フクオカ ヒロシマ メガゲンガー リーリエ,lot,manual,LOW
SAR,2,ポケモンカード SR ポケカ AR RR SAR MA || ポケモンカード ロトム メガドラミドロ ホエルオー ヤドラン SAR AR SR (4枚セット),singles_or_hits,manual_to_verify,MEDIUM
シャイニートレジャー,2,【 ARS鑑定 10+ 】ニャオハ ミラー 012/190 ポケモンカードゲーム ポケカ シャイニートレジャーex PSA BGS ARS 鑑定品 PSA10 ARS10＋ || ポケモンカード PSA10 ピカチュウ シャイニートレジャーex 色違い,sealed,manual_to_verify,HIGH
スペシャルBOX,2,【新品未開封】ポケモンカードゲーム スペシャルBOX フクオカ Pokmon Center FUKUOKA 限定 || スペシャルBOX ポケモンセンターヒロシマ ポケモンカードゲーム 未開封 シュリンク付 ポケモンカードゲーム スペシャルBOX ヒロシマ,sealed,manual_to_verify,HIGH
クレイバースト,1,1円スタート ナンジャモ SAR PSA10 ポケモンカード クレイバースト,sealed,manual_to_verify,HIGH
レイジングサーフ,1,ポケモンカードゲーム 強化拡張パック レイジングサーフ 1BOX シュリンク付き,sealed,manual_to_verify,HIGH
黒炎の支配者,1,1スタ】ポケモンカード未開封boxまとめ売り 8セット アビスアイ、ニンジャスピナー、ルリナの休息、ムニキスゼロ、黒炎の支配者,sealed,manual_to_verify,HIGH
